업소명,소재지(도로명),소재지전화번호,주된음식
가원,인천광역시 남구 석바위로 57 (주안동),032) 862 - 7044,돌솥정식
송원,인천광역시 남구 미추홀대로719번길 28 (주안동),032) 872 - 2000,오리요리
독도참치,인천광역시 남구 미추홀대로 731 (주안동),032) 874 - 2203,참치회
형제숯불구이,인천광역시 남구 미추홀대로 723 (주안동),032) 875 - 9400,삼겹살
무봉리토종순대국,인천광역시 남구 석정로 432 (주안동),032) 876 - 1989,순대국
제주청정흑돈가,인천광역시 남구 주안서로54번길 15 (주안동),032) 866 - 6886,돼지갈비
해바라기 정육식당,인천광역시 남구 주안로 77 (주안동),032) 875 - 8292,"갈비탕, 육회비빔밥"
천년부페웨딩홀,"인천광역시 남구 길파로 6 (주안동, 지하1,2층,지상3,4층)",032) 872 - 6200,뷔페식
21세기 바다,"인천광역시 남구 석정로 412, 105,106,107호 (주안동, 진도로르빌)",032) 874 - 4988,"우럭회,탕"
정자돼지왕갈비,"인천광역시 남구 석정로 412 (주안동,진도로르빌 102, 103, 104호)",032) 874 - 9588,돼지왕갈비
감자탕을 만드는 형제들,인천광역시 남구 주염로 9 (주안동),032) 872 - 3970,뼈해장국
하림,"인천광역시 남구 주안서로 51 (주안동,1층)",032) 868 - 3700,한정식
광명수산,"인천광역시 남구 염창로 42 (주안동,대동빌딩)",032) 875 - 0216,생선회
금강산숯불갈비식당,"인천광역시 남구 석정로 512 (주안동,(1,2층))",032) 438 - 9988,돼지갈비
서해낙원식당,인천광역시 남구 동주길 123 (주안동),032) 438 - 5557,해물탕
착한낙지,인천광역시 남구 미추홀대로 650 (주안동),032) 435 - 6993,낙지전골
경원궁 주안점,인천광역시 남구 미추홀대로 646 (주안동),032) 424 - 0025,갈비
아가돌,"인천광역시 남구 미추홀대로 666, 4층 (주안동)",032) 424 - 5551,"도미찜,오향족발"
나.삼보해물가,인천광역시 남구 미추홀대로 661 (주안동),032) 439 - 7900,해물탕
청주보쌈,인천광역시 남구 경원대로851번길 48 (주안동),032) 435 - 9035,보쌈
명가원,인천광역시 남구 경인로 417 (주안동),032) 421 - 4181,설렁탕
3일소고기국밥,인천광역시 남구 경인로 401 (주안동),032) 429 - 9993,해물찜
서래면옥,인천광역시 남구 한나루로 502 (주안동),032) 865 - 2653,삼겹살
야래향,인천광역시 남구 경원대로858번길 6 (주안동),032) 421 - 1290,탕수육
화개장터,인천광역시 남구 경인로435번길 36 (주안동),032) 434 - 1424,감자탕
옛날그집 한방 닭한마리,인천광역시 남구 학익소로 67 (학익동),032) 868 - 7744,칼국수
고목정,인천광역시 남구 한나루로358번길 7(학익동),032) 874 - 7780,보리밥
원조대추나무집,인천광역시 남구 햇골길 43 (학익동),032) 873 - 6507,"백숙,삼계탕"
미가정,인천광역시 남구 햇골길19번길 6 (학익동),032) 872 - 1535,"백숙,닭도리탕"
굴세상,인천광역시 남구 매소홀로 355 (학익동),032) 864 - 8030,굴국밥
고향곤드레나물밥,인천광역시 남구 매소홀로379번길 14 (학익동),032) 876 - 6322,복어탕
미락초밥,인천광역시 남구 매소홀로401번길 8-5 (학익동),032) 876 - 3002,생선초밥
"황금동태찜,탕",인천광역시 남구 소성로185번길 16-26 (학익동),032) 876 - 0300,"동태찜,탕"
루외루,인천광역시 남구 소성로185번길 16-5 (학익동),032) 873 - 8855,짜장면
미림일식,인천광역시 남구 소성로185번길 16-20 (학익동),032) 867 - 8003,"생선회,매운탕"
남도낙지,"인천광역시 남구 소성로185번길 16-20 (학익동,101호)",032) 874 - 9429,낙지전골
카나참치,"인천광역시 남구 학익소로 29, 석목빌딩동 103호 (학익동)",032) 864 - 2745,참치회
5.5닭갈비,인천광역시 남구 소성로 184 (학익동),032) 867 - 6161,닭갈비
어향,"인천광역시 남구 소성로 166-1 (학익동,(1층,2층))",032) 873 - 8859,오리구이
궁중삼계탕,인천광역시 남구 학익소로63번길 23 (학익동),032) 861 - 3939,삼계탕
본가낙지마당,"인천광역시 남구 소성로 192 (학익동,(1층 101호))",032) 861 - 3505,낙지덮밥
문학골손두부,인천광역시 남구 소성로 206 (학익동),032) 868 - 5060,순두부정식
금산식당,인천광역시 남구 매소홀로488번길 6-29 (학익동),032) 864 - 3003,밴뎅이회무침
복가네,인천광역시 남구 소성로256번길 5 (학익동),032) 874 - 1178,설렁탕
태원,"인천광역시 남구 매소홀로 388, 2층 204호 (학익동)",032) 862 - 0806,자장면
만선해변,"인천광역시 남구 매소홀로 388 (학익동,유니스프라자 1층 (103,104,105호))",032) 875 - 8510,해물찜
마루샤브학익점,"인천광역시 남구 매소홀로 372, 일진프라자동 (학익동)",032) 876 - 6677,"소고기, 해물 샤브샤브"
황제장어,인천광역시 남구 매소홀로 372 (학익동),032) 876 - 0592,장어구이
경복궁학익점(주)엔타스시스템,인천광역시 남구 매소홀로 378 (학익동),032) 873 - 2000,한우코스요리
평산,인천광역시 남구 매소홀로 368 (학익동),032) 865 - 8600,돼지갈비
